000092B4 000063B5 00018264 00003D97 00037E85 00016F5D 00031AEA 00013475 0001E37F 000373BD 00018BB0 0001DEA8 00008AF9 000196A3 00032255 0000CE21
00013F99 00025D51 0000C815 0002B13D 00022B45 00011482 0001F844 00013F46 0002BD99 0002620D 000018C3 0003C08D 00000024 000033AD 00037D5C 0003B30C
00038E07 0002FDC3 0000A981 0003AC7F 00036D64 00030002 000341A3 0003B820 000111A9 000036E0 0002DF43 000207E5 0002FCDE 0002FFA6 0001B638 000088CD
000095A7 0000D176 00007CE8 00007480 0001D62C 00005341 00022707 000291B1 0001F051 000328BE 00011B2A 00022C86 0002DFB5 00025B32 00014C94 0001AD18
0001B2BE 0002D8B3 0003E84A 0003CB3C 0002BF13 0000DB7B 0002A83E 00016D40 00009010 000162F1 000056EB 0001A38D 00026492 0000426D 0001BB7A 0003A88F
000314F6 0001FA58 0003BE3E 00005387 0000B6DA 0002EAE0 0001EFC7 0002DA12 0001425D 0002E507 0003A1C3 00000215 00037E1B 0003E4AB 00020C42 00039871
00020275 000399E8 0001DC7A 00027FED 0001328E 00036704 0001B199 0002D537 0003A0D2 00028844 000384F3 00037C21 00021E06 00031C8F 0001EDD7 0000A2FD
000115F2 00024D25 00008805 0003A31A 0002BB07 00004C0C 000175A2 0003E64A 0000380C 0001B4B6 00015BE6 0003EC18 00020840 0003881A 00016C25 00019A15
0000B3D4 000134BF 00026C2D 00024806 00003252 0001F258 0002E523 0003F253 00005AAB 0002F399 000387B6 00009EA9 00004D9B 00000629 00036508 000232F7
00036118 00038848 00007FA9 0000066F 000117D6 00003D54 0002D799 0000C61D 0001C0F3 000357C2 000043FD 0000DCC2 0001DF7B 00005AF7 0002B2A8 0002EEA3
00029527 000105B3 0002F150 00009A05 0002266F 0000963C 000098AD 0000DC37 00000317 00021368 000136EA 00005B19 00036032 0003A675 00024A71 00011656
00021BA1 00033D4E 00005015 0002EEE6 000000BF 000221B1 00004623 00028188 00030A87 00016163 00007AB9 00037C2E 00010E68 0003CFF1 00013380 0001B48B
000238A4 000311AD 0001FB62 0002C58D 000092A5 0001EB80 0002ED18 00033765 00036F37 0001EAF9 0002B3A7 00038169 000052C9 00012CB1 0002BB63 00037D32
00037499 000153A4 00036DC8 0000A5FB 000294E7 000278FF 000152D9 00033C4B 000204EF 0003E145 0000AC3F 0000EABD 00038F25 0003C1AB 0001BAE6 00008D9F
0000C9ED 000160CC 000315DA 00005805 00014A29 00016FF0 00015638 000129F5 00036DD2 0003DDC6 00029B12 0000EC20 0000175F 000382C0 0000714B 000301F1
0003143F 00028964 0003CC93 00031E2F 00032186 00003B45 0000488D 00039F47 00035730 00000CB2 0001A5F5 0003DA30 00020003 00025B61 0000B496 00020B9F
00031D0D 0000F72F 00014FCC 0001D8DE 0001F683 0000FBEF 0003373C 00035701 00028801 000096C6 0000EE75 00027EA3 0002A50C 0002FE28 0002CE0F 0002FD60
0001CAB7 0003F212 0002F124 0000491E 00038306 00029543 0001A1E4 0003268C 00025A8F 0002D5BC 00029DA6 00027B07 0002A53A 00015ADF 0002734D 000095AE
00039FDC 00011D4A 0001BFF1 00037650 000291A6 00025B73 000036C0 0003A2F7 0001D085 00008703 0001470D 000350BA 00008951 00023B05 0000DEA6 0000577E
000029D5 00014076 0000D6EF 0002538B 0000457A 00020C6B 0000C7C3 0001CCF5 0002926F 00013E42 0000D26A 0002158B 00027CAE 0001FF8C 000120F2 00036E51
00035306 00006F18 0002CCD1 00004B2E 0001A72A 00014ED5 0002915B 0000CAC0 0003E227 0000BD9F 00007F67 00018FB1 0002B319 0001F8AA 000052DC 000381C1
0001406B 000246D7 0003CACD 00022BF5 0003CA96 0000CC07 0000228C 000234FB 000038B5 000142DC 0002793F 0003F3BE 0001A2D9 0002149D 00003C74 00039B00
000337DE 000034C4 0003252D 00003106 000098D9 0001200C 000352DC 0003ACAD 00034C4A 0001C4A0 00029F1B 00028FA5 000263B2 0001E8F9 0001B064 000286B0
00020D1A 0002D507 0002D4CE 00035319 0002E8DF 0001D4C6 0000B78D 0001766D 0003FA27 0002895D 00001931 00020EDA 00029903 000037F7 0001370B 00014A06
000329B1 0000577F 00006105 000138F1 00035A05 0000FE85 000199B1 00001FB6 0001F0F9 0003E256 00005CC4 00029F7E 00036755 0003DBD7 0000E735 00036B6C
0001CC45 000352A6 0001FEE4 0000DA4E 00006786 0000D392 0002C5AE 00031A7B 000137D3 00011BF2 0000FA5B 00003A1C 00021CC6 00038C86 0003D990 00029F67
0000A99F 0000F67D 0002EC13 00004798 0001D0DD 0000EA08 0000C484 00039BC6 00028AB5 0002EE5D 0002E161 00027221 0000F9AB 0003488C 00028368 000229F8
00017BE7 0001241C 00010C90 0003C055 00003826 0003DE35 0003AAC2 00010E06 0000E7BF 000153A9 0001493F 00014D1D 00010E5B 0000E447 0000EE27 0002EEDE
0000AD65 00023A4F 0001C49E 00029A71 0003A081 00006D45 000267B7 0001C8B7 00015274 0000C70B 00027D1C 00038B76 000098B1 00006043 0002C55F 00002D54
0000E4D3 00004C25 0000A5C8 0001DB25 0001E491 000014DD 000001AB 0001BAA1 000177AA 00009F2C 0000470A 0001DCCA 00004554 00011AEB 0000D268 0000A3A4
000027AC 0001E681 000366E2 0000DC19 0000BBEE 0001429E 00033050 000201E0 00007514 0002C53B 00020F6A 00001707 0002AD62 000004DB 0001C1B9 0002DF7D
00007E30 0000D2D7 00036C9D 00016ACE 0002D512 000357E6 00024290 00007E55 0003EF50 0003C280 0001C488 0002B37B 0001F816 0002F528 000184FF 0003AB0A
0002EDA4 000332A9 0000097A 00019A8D 0001CE21 0000034A 0000D32E 0001A5CF 000103DA 00003E08 0003EC69 00000AA9 0001C4D5 0003D2AC 000387F6 00032A58
0003A59B 000006BB 0001093E 0002B69F 00007362 000242FC 0003C11A 000321E5 00022761 0000BFCB 00020557 0003E3C2 000273FB 0001348D 0002B1E8 00023D34
00005951 00013317 000359D3 0003E724 0000DE91 000147C1 0002769A 00039B93 0003E60C 00024EAB 0002F3D1 0003A28B 000274E4 00032EDF 0003AFC6 0001AD91
0002ED20 000236AC 00027BF5 0001A15E 0002CAAE 0000B537 0000EF95 0001E536 00037ABF 0003A9F4 0000AB01 0002ACBE 00023464 000040AD 00008184 0000F6A6
0002440D 00025CCF 0002F10D 0003095E 00037E60 00036660 00009AC4 00025C58 000101CE 00002659 00021165 00023DC3 0001FAEA 0002AD83 00018F59 0000CB4E
0001BC04 0000482C 000123F9 0003FAB8 0000C507 000198EE 000131B8 0001CF62 00023394 000329D8 000081D8 00031FE8 00039976 0002FE8E 0001C921 0000DA81
00005DDE 0003F3B0 00005E9A 000387D0 000217A5 00006E37 00030A11 0003D6F4 0002ABF6 0000F84E 0001E24D 00014DB3 0003227B 0003D87D 00037EB9 0000D9BC

19852 44782 176423 55649 64300 63737 185703 18633 253779 227418 64822 108623 257542 113281 68505 82442
101891 174433 82999 6274 48364 2659 147589 208818 174701 76496 56673 147592 70756 251930 12903 221565
108245 362 104697 32019 143246 80754 92525 69730 87008 193503 176135 133015 32017 123895 194505 85705
57645 41944 166646 93761 76121 178289 175993 224202 12796 217512 71918 35608 60853 220428 65593 230174
11878 55781 158575 25703 107239 100082 49182 84430 213334 11614 78533 15455 127020 234025 212159 88131
95443 52684 106672 62744 40062 75666 65796 12171 215501 67326 119353 49091 17625 236233 154567 249901
1828 170284 190199 129052 213765 50546 129868 178506 35142 77424 203954 136785 106881 240903 15402 237988
80167 39719 244060 110447 218344 42798 61282 75665 196404 71469 144843 42520 74904 259290 148288 140872
110021 168921 103033 171414 142655 99876 75217 138300 51796 96654 82800 158415 86362 135595 66717 89215
176113 24673 248455 183322 239097 42562 206253 247101 103129 42092 14402 15708 136834 113090 99365 25435
1157 92615 246062 188889 164015 261157 246849 11267 83686 125278 183143 10972 106622 47092 157768 152424
47284 187069 92670 231726 49216 206546 113896 104746 34310 77455 208591 260822 96350 224967 60028 155350
212225 161871 241082 185781 189180 12846 129329 186467 117172 140213 103207 79853 230124 187397 247217 243490
255280 24574 13406 188825 118107 106669 217255 199199 47160 87298 67801 78881 218039 218861 142118 52588
25240 149237 93223 256852 106005 96680 233661 102109 166872 146804 172860 203693 44958 104531 136068 53289
119136 39027 123469 178785 52709 167948 71035 159918 16349 114260 69187 34654 189970 14824 1131 135553

0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500
0 100 200 300 400 500 600 700 800 900 1000 1100 1200 1300 1400 1500

0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1

100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000
100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000 100000


1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
